protein1,protein2,combined_score,protein1_original_name,protein2_original_name
9606.ENSP00000253408,9606.ENSP00000471457,261,GFAP,MYO9B
9606.ENSP00000253458,9606.ENSP00000397269,219,GSE1,FAM136A
9606.ENSP00000253496,9606.ENSP00000293879,520,F12,WDR90
9606.ENSP00000253669,9606.ENSP00000448012,525,HAUS8,CEP290
9606.ENSP00000253669,9606.ENSP00000383145,499,HAUS8,SFI1
9606.ENSP00000253669,9606.ENSP00000371308,525,HAUS8,CENPJ
9606.ENSP00000253801,9606.ENSP00000346643,900,G6PC,HKDC1
9606.ENSP00000253925,9606.ENSP00000467537,900,PPFIA1,PTPRS
9606.ENSP00000253925,9606.ENSP00000453508,239,PPFIA1,TLN2
9606.ENSP00000253928,9606.ENSP00000365588,439,FLYWCH1,MDC1
9606.ENSP00000254066,9606.ENSP00000384018,987,RARA,NCOR2
9606.ENSP00000254066,9606.ENSP00000467537,205,RARA,PTPRS
9606.ENSP00000254108,9606.ENSP00000435389,292,FUS,PLEKHA7
9606.ENSP00000254108,9606.ENSP00000365588,439,FUS,MDC1
9606.ENSP00000254193,9606.ENSP00000340510,225,SNRPA1,PPL
9606.ENSP00000254227,9606.ENSP00000384018,588,NR0B2,NCOR2
9606.ENSP00000254301,9606.ENSP00000384164,239,LGALS3,KIF16B
9606.ENSP00000254301,9606.ENSP00000371308,222,LGALS3,CENPJ
9606.ENSP00000254301,9606.ENSP00000222399,237,LGALS3,LAMB1
9606.ENSP00000254322,9606.ENSP00000435389,292,DNAJB1,PLEKHA7
9606.ENSP00000254337,9606.ENSP00000341044,165,DCAF15,ACACB
9606.ENSP00000254337,9606.ENSP00000300231,165,DCAF15,MAP1A
9606.ENSP00000254337,9606.ENSP00000420213,165,DCAF15,FLNB
9606.ENSP00000254436,9606.ENSP00000365588,250,TRIM21,MDC1
9606.ENSP00000254436,9606.ENSP00000257430,473,TRIM21,APC
9606.ENSP00000254436,9606.ENSP00000313420,226,TRIM21,PRKDC
9606.ENSP00000254442,9606.ENSP00000384018,634,WDR7,NCOR2
9606.ENSP00000254480,9606.ENSP00000365588,600,SMARCC1,MDC1
9606.ENSP00000254480,9606.ENSP00000254846,273,SMARCC1,KDM6B
9606.ENSP00000254508,9606.ENSP00000420213,207,NUP210,FLNB
